Date,Open,High,Low,Close,Adj Close,Volume,BB_H_indicator,BB_l_indicator,BB_MA_indicator,RSI,Stoch,MACD,EMA_ind,EMA,Ichi,MA7,MA21,log_momentum
2010-11-18,3.2725,3.3625,3.2725,3.33,3.056895,99312000,3.3424004205396747,2.890599579460325,3.1165,69.32135644023023,0.5111289887682988,0.11259805218492192,3.1896182615573525,3.294298014567573,3.075,3.2378571428571434,3.100119047619047,0.8458682675776092
2010-11-19,3.3225,3.45,3.3175,3.4375,3.15558,71648400,3.3932996174603467,2.888450382539654,3.1408750000000003,73.54878155934225,0.7836828049499013,0.12403149753986797,3.227753913625452,3.3897660048558578,3.09,3.2739285714285713,3.1317857142857144,0.8909729238898652
2010-11-22,3.415,3.46,3.385,3.44,3.157875,46266800,3.436279268399198,2.8917207316008025,3.164,73.6397530836586,0.7895479913027441,0.13177529093716345,3.260407157683075,3.423255334951952,3.0949999999999998,3.315,3.155119047619048,0.8919980393051105
2010-11-23,3.4,3.435,3.335,3.36,3.084436,45783200,3.452987557717294,2.9142624422827064,3.183625,65.8367330227282,0.2864656573937964,0.12995888643718523,3.2757291334241403,3.3810851116506506,3.0949999999999998,3.3214285714285716,3.1733333333333333,0.8586616190375187
2010-11-24,3.395,3.455,3.3925,3.4425,3.160171,39778400,3.4846417500571594,2.9258582499428396,3.2052499999999995,69.43374049989866,0.5183747006325092,0.13363596112880138,3.3013861898204264,3.422028370550217,3.0949999999999998,3.345357142857143,3.195952380952381,0.8930221049348007
2010-11-26,3.44,3.46,3.4,3.4,3.121156,14310400,3.501596456110558,2.947653543889443,3.2246250000000005,65.60181159234054,0.2713196215561596,0.13160362977745965,3.3165575452326683,3.4073427901834052,3.0949999999999998,3.3771428571428572,3.214523809523809,0.8754687373538999
2010-11-29,3.385,3.45,3.37,3.4375,3.15558,46819200,3.5187545871173596,2.97374541288264,3.24625,67.31581455469664,0.3818261438892757,0.13150304390643752,3.3351640767353348,3.4274475967278017,3.11,3.4067857142857143,3.2347619047619043,0.8909729238898652
2010-11-30,3.385,3.42,3.34,3.4025,3.123451,72093600,3.523631062004374,3.0081189379956257,3.265875,64.10518207163238,0.17482776758223667,0.12713360433334087,3.345523449545283,3.410815865575934,3.1887499999999998,3.417142857142857,3.253690476190476,0.8765098618623104
2010-12-01,3.47,3.575,3.465,3.5525,3.261149,62653600,3.5602195717968144,3.0195304282031854,3.289875,70.58117921656422,0.5923532554856372,0.13422725020247261,3.3773659957690856,3.505271955191978,3.24625,3.4335714285714287,3.279523809523809,0.9370732710566837
2010-12-02,3.5525,3.6175,3.55,3.595,3.300164,52931600,3.6005517185123828,3.029198281487617,3.314875,72.1161830729524,0.6913192092575052,0.14164560807484072,3.4108481502661494,3.5650906517306598,3.2750000000000004,3.455714285714286,3.304404761904762,0.953586516617852
2010-12-03,3.5775,3.6975,3.57,3.6975,3.394256,60604400,3.657938840797375,3.031561159202625,3.34475,75.44401368013247,1.0,0.15402015503382094,3.454948434840588,3.6533635505768864,3.3362499999999997,3.503928571428571,3.3330952380952383,0.9923254181501526
2010-12-06,3.71,3.7175,3.6125,3.6275,3.329999,43842400,3.691653988061425,3.045346011938575,3.3685,69.35630586035275,0.5667261228352958,0.15637605188163883,3.4814948294804973,3.636121183525629,3.34625,3.5303571428571425,3.3582142857142854,0.9660328237689692
